mssv,ho_ten,khoa,nam_hoc,tinh_tp,so_tin_chi,gpa,gio_tu_hoc,ngay_nhap_hoc
2200048,Phạm Hữu Chi,Kỹ thuật Công nghệ,2,Đà Nẵng,23,2.57,8.4,2022-09-18
2200049,Phan Gia Tuấn,Du lịch,2,TP. Hồ Chí Minh,13,,8.2,2022-09-23
2200050,Bùi Ngọc Mai,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,16,2.69,5.9,2022-09-08
2200051,Trần Ngọc Vy,Kỹ thuật Công nghệ,2,Đồng Nai,12,3.07,16.5,2022-09-08
2200052,Phan Hữu Chi,Du lịch,4,Bình Dương,18,3.97,5.9,2022-09-18
2200053,Phạm Gia Linh,Kinh tế,2,TP. Hồ Chí Minh,20,2.56,6.5,2022-09-25
2200054,Đặng Văn Mai,Kỹ thuật Công nghệ,3,Lâm Đồng,19,2.81,8.6,2022-09-07
2200055,Hoàng Ngọc Chi,Du lịch,1,TP. Hồ Chí Minh,18,2.37,10.4,2022-09-13
2200056,Huỳnh Ngọc Phúc,Ngôn ngữ,3,TP. Hồ Chí Minh,16,3.21,15.7,2022-09-19
2200057,Đặng Hữu Chi,Ngôn ngữ,1,TP. Hồ Chí Minh,13,2.35,6.7,2022-09-21
2200058,Trần Thanh Hà,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,24,3.13,7.1,2022-09-08
2200059,Vũ Thanh Hà,Ngôn ngữ,4,TP. Hồ Chí Minh,21,2.97,7.5,2022-09-08
2200060,Lê Quốc Oanh,Luật,1,Bình Dương,21,2.61,10.7,2022-09-14
2200061,Phan Ngọc Bình,Du lịch,4,TP. Hồ Chí Minh,18,2.56,6.3,2022-09-09
2200062,Bùi Hữu Khanh,Du lịch,2,Đà Nẵng,12,2.29,5.9,2022-09-17
2200063,Huỳnh Ngọc Trang,Du lịch,4,Khánh Hòa,24,3.42,8.8,2022-09-13
2200064,Huỳnh Gia Chi,Kinh tế,1,TP. Hồ Chí Minh,13,3.04,8.2,2022-09-12
2200065,Đặng Thanh Nam,Kỹ thuật Công nghệ,4,Hà Nội,24,,5.4,2022-09-11
2200066,Vũ Quốc Giang,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,12,2.47,15.2,2022-09-16
2200067,Hoàng Văn Mai,Ngôn ngữ,2,Bình Dương,23,2.92,8.3,2022-09-15
2200068,Đặng Thị An,Luật,2,TP. Hồ Chí Minh,22,2.77,12.3,2022-09-20
2200069,Nguyễn Ngọc Hà,Kỹ thuật Công nghệ,4,Cần Thơ,22,2.64,9.3,2022-09-11
2200070,Huỳnh Quốc Quân,Kinh tế,2,,16,2.84,7.3,2022-09-25
2200071,Lê Minh Tuấn,Kỹ thuật Công nghệ,2,Đà Nẵng,21,2.98,10.9,2022-09-14
2200072,Huỳnh Ngọc Quân,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,18,2.98,8.5,2022-09-20
2200073,Nguyễn Gia Phúc,Kinh tế,3,TP. Hồ Chí Minh,19,3.68,18.8,2022-09-24
2200074,Hoàng Ngọc Tuấn,Luật,2,Lâm Đồng,20,2.15,10.0,2022-09-17
2200075,Nguyễn Minh Yến,Ngôn ngữ,4,Đà Nẵng,19,2.75,14.8,2022-09-12
2200076,Hoàng Thanh Quân,Kỹ thuật Công nghệ,4,Bình Dương,20,3.03,5.7,2022-09-08
2200077,Phạm Minh Yến,Kỹ thuật Công nghệ,2,Khánh Hòa,21,1.82,3.7,2022-09-23
2200078,Lê Thị Vy,Kinh tế,1,Khánh Hòa,14,2.93,7.9,2022-09-15
2200079,Hoàng Quốc Chi,Du lịch,4,TP. Hồ Chí Minh,24,2.54,10.8,2022-09-07
2200080,Vũ Thanh Trang,Kỹ thuật Công nghệ,3,Cần Thơ,17,2.68,,2022-09-24
2200081,Đặng Quốc Chi,Kỹ thuật Công nghệ,3,Đồng Nai,19,2.28,10.8,2022-09-19
2200082,Phan Thanh Thảo,Du lịch,1,Bình Dương,12,2.23,4.8,2022-09-13
2200083,Đặng Minh Giang,Kỹ thuật Công nghệ,2,Hà Nội,18,2.68,9.8,2022-09-09
2200084,Phan Minh Giang,Kỹ thuật Công nghệ,3,Khánh Hòa,18,1.93,12.1,2022-09-13
2200085,Bùi Hữu Trang,Du lịch,1,Khánh Hòa,22,2.55,8.3,2022-09-05
2200086,Huỳnh Gia Nam,Luật,1,Bình Dương,15,2.16,5.1,2022-09-07
2200087,Nguyễn Văn Trang,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,13,2.57,8.6,2022-09-08
2200088,Đặng Thị Mai,Luật,3,Hà Nội,23,2.26,10.4,2022-09-22
2200089,Trần Gia Oanh,Du lịch,2,Đồng Nai,24,2.9,12.2,2022-09-17
2200090,Đặng Văn Vy,Ngôn ngữ,2,Hà Nội,20,1.63,8.4,2022-09-22
2200091,Nguyễn Ngọc Tuấn,Kinh tế,3,Hà Nội,12,2.72,7.6,2022-09-11
2200092,Vũ Quốc An,Kinh tế,1,Đà Nẵng,24,1.77,7.4,2022-09-19
2200093,Hoàng Ngọc Sơn,Ngôn ngữ,1,TP. Hồ Chí Minh,22,2.23,7.6,2022-09-17
2200094,Huỳnh Quốc Sơn,Kinh tế,1,TP. Hồ Chí Minh,21,1.91,,2022-09-16
2200095,Phạm Hữu Trang,Kinh tế,1,Lâm Đồng,13,3.17,11.1,2022-09-13
2200096,Đặng Ngọc Yến,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,17,3.03,9.5,2022-09-17
2200097,Phạm Gia An,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,14,2.83,9.2,2022-09-06
2200098,Phan Hữu Hà,Kinh tế,3,Lâm Đồng,16,2.2,0.0,2022-09-09
2200099,Vũ Văn Bình,Luật,2,Khánh Hòa,16,,8.9,2022-09-13
2200100,Vũ Thị Mai,Kinh tế,2,TP. Hồ Chí Minh,19,2.21,8.4,2022-09-18
2200101,Bùi Thị Khanh,Kỹ thuật Công nghệ,4,Hà Nội,23,1.88,11.4,2022-09-12
2200102,Lê Văn Thảo,Kỹ thuật Công nghệ,2,Đồng Nai,15,2.81,4.3,2022-09-19
2200103,Vũ Thị Dũng,Kỹ thuật Công nghệ,2,Hà Nội,15,2.67,11.5,2022-09-11
2200104,Trần Gia Quân,Kinh tế,4,TP. Hồ Chí Minh,14,2.78,12.9,2022-09-07
2200105,Đặng Văn Giang,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,17,3.01,7.4,2022-09-17
2200106,Phạm Thị Dũng,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,21,2.21,9.3,2022-09-24
2200107,Nguyễn Thanh Khanh,Kỹ thuật Công nghệ,2,Bình Dương,21,2.46,11.4,2022-09-25
2200108,Huỳnh Hữu Sơn,Kỹ thuật Công nghệ,1,Đà Nẵng,16,2.34,6.9,2022-09-24
2200109,Đặng Minh Oanh,Du lịch,2,TP. Hồ Chí Minh,16,3.21,7.9,2022-09-09
2200110,Huỳnh Hữu Quân,Kinh tế,2,TP. Hồ Chí Minh,19,2.0,12.4,2022-09-08
2200111,Vũ Minh Tuấn,Kỹ thuật Công nghệ,1,Đà Nẵng,12,2.61,8.7,2022-09-05
2200112,Đặng Ngọc Mai,Luật,4,TP. Hồ Chí Minh,14,3.08,15.2,2022-09-23
2200113,Trần Minh Sơn,Kinh tế,3,Lâm Đồng,17,3.14,5.9,2022-09-15
2200114,Đặng Thanh Thảo,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,21,2.52,7.2,2022-09-16
2200115,Đặng Văn Hùng,Luật,1,Cần Thơ,22,2.23,12.7,2022-09-18
2200116,Lê Minh Bình,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,16,1.79,7.7,2022-09-06
2200117,Bùi Minh Dũng,Ngôn ngữ,2,Cần Thơ,18,1.87,4.2,2022-09-24
2200118,Phạm Thanh Vy,Kinh tế,2,TP. Hồ Chí Minh,24,2.27,7.2,2022-09-16
2200119,Trần Thanh Khanh,Du lịch,1,Đồng Nai,20,3.0,15.7,2022-09-22
2200120,Bùi Minh Sơn,Du lịch,4,TP. Hồ Chí Minh,14,3.6,10.0,2022-09-22
2200121,Lê Thanh Phúc,Luật,4,TP. Hồ Chí Minh,24,2.53,7.7,2022-09-23
2200122,Nguyễn Gia Chi,Kinh tế,3,TP. Hồ Chí Minh,23,2.74,11.7,2022-09-10
2200123,Vũ Gia Hà,Ngôn ngữ,1,Hà Nội,22,2.85,10.5,2022-09-12
2200124,Phạm Hữu Hùng,Ngôn ngữ,1,TP. Hồ Chí Minh,17,1.98,9.1,2022-09-23
2200125,Nguyễn Thị Vy,Kinh tế,1,TP. Hồ Chí Minh,19,2.43,7.8,2022-09-14
2200126,Lê Ngọc Oanh,Kinh tế,3,TP. Hồ Chí Minh,24,2.35,9.5,2022-09-24
2200127,Hoàng Ngọc Bình,Kinh tế,2,Đồng Nai,15,2.6,8.2,2022-09-19
2200128,Lê Ngọc Mai,Kỹ thuật Công nghệ,2,Lâm Đồng,17,2.3,3.6,2022-09-23
2200129,Huỳnh Thị Thảo,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,12,1.83,10.6,2022-09-22
2200130,Phan Thị Quân,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,22,3.26,12.2,2022-09-17
2200131,Lê Minh Vy,Luật,3,TP. Hồ Chí Minh,24,2.12,8.4,2022-09-23
2200132,Phạm Thanh An,Kỹ thuật Công nghệ,3,Cần Thơ,13,2.46,8.1,2022-09-09
2200133,Lê Thị Tuấn,Du lịch,3,Hà Nội,24,2.95,13.3,2022-09-13
2200134,Lê Ngọc Linh,Du lịch,3,TP. Hồ Chí Minh,17,1.71,13.2,2022-09-05
2200135,Phạm Thị Giang,Kinh tế,4,Cần Thơ,21,3.18,11.0,2022-09-22
2200136,Phạm Thanh Mai,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,18,2.93,12.3,2022-09-15
2200137,Nguyễn Minh Yến,Kinh tế,4,TP. Hồ Chí Minh,19,2.89,14.4,2022-09-14
2200138,Phạm Thị Bình,Ngôn ngữ,2,Cần Thơ,24,1.86,6.2,2022-09-06
2200139,Phạm Minh Vy,Ngôn ngữ,3,Lâm Đồng,14,2.86,,2022-09-08
2200140,Huỳnh Thanh Oanh,Du lịch,2,Đồng Nai,16,3.07,10.3,2022-09-23
2200141,Lê Hữu Hùng,Kinh tế,1,TP. Hồ Chí Minh,21,2.75,7.8,2022-09-17
2200142,Hoàng Ngọc Oanh,Kỹ thuật Công nghệ,2,Lâm Đồng,17,1.36,12.9,2022-09-22
2200143,Phạm Ngọc Chi,Kinh tế,4,TP. Hồ Chí Minh,22,2.42,6.7,2022-09-21
2200144,Lê Thanh Tuấn,Ngôn ngữ,1,TP. Hồ Chí Minh,22,2.44,12.3,2022-09-09
2200145,Lê Thị Sơn,Kinh tế,4,Lâm Đồng,20,3.22,14.3,2022-09-23
2200146,Bùi Minh Quân,Kỹ thuật Công nghệ,2,Đồng Nai,16,1.89,4.0,2022-09-10
2200147,Hoàng Gia Giang,Luật,1,TP. Hồ Chí Minh,13,1.89,5.7,2022-09-12
2200148,Hoàng Hữu Quân,Kinh tế,1,Lâm Đồng,12,2.62,4.5,2022-09-20
2200149,Huỳnh Ngọc Chi,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,18,3.58,8.5,2022-09-21
2200150,Hoàng Quốc Giang,Kinh tế,3,TP. Hồ Chí Minh,22,3.27,11.8,2022-09-12
2200151,Nguyễn Thị Bình,Kinh tế,1,TP. Hồ Chí Minh,16,2.82,2.0,2022-09-17
2200152,Hoàng Thị Nam,Luật,4,Cần Thơ,24,3.34,12.5,2022-09-21
2200153,Lê Thị Nam,Kỹ thuật Công nghệ,4,Đà Nẵng,13,3.04,0.1,2022-09-20
2200154,Đặng Quốc Linh,Du lịch,1,TP. Hồ Chí Minh,20,3.14,6.1,2022-09-15
2200155,Trần Thanh Linh,Kỹ thuật Công nghệ,4,Khánh Hòa,18,2.52,7.2,2022-09-20
2200156,Phan Gia Yến,Du lịch,3,TP. Hồ Chí Minh,14,2.55,9.3,2022-09-18
2200157,Đặng Quốc Thảo,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,18,1.36,7.7,2022-09-07
2200158,Phan Hữu Khanh,Kinh tế,3,,23,3.26,9.1,2022-09-10
2200159,Trần Ngọc Sơn,Kỹ thuật Công nghệ,1,Lâm Đồng,20,2.09,9.7,2022-09-10
2200160,Đặng Minh Chi,Du lịch,2,TP. Hồ Chí Minh,17,2.92,15.3,2022-09-14
2200161,Trần Minh Yến,Luật,4,Bình Dương,13,,8.6,2022-09-25
2200162,Lê Hữu Giang,Du lịch,4,Bình Dương,15,2.45,7.0,2022-09-25
2200163,Phan Minh Thảo,Kinh tế,3,Hà Nội,24,2.9,16.7,2022-09-08
2200164,Nguyễn Gia An,Kinh tế,4,Đồng Nai,24,2.66,11.8,2022-09-11
2200165,Bùi Hữu Trang,Kỹ thuật Công nghệ,1,Lâm Đồng,21,2.1,7.6,2022-09-08
2200166,Phan Thanh Linh,Kinh tế,2,Hà Nội,17,2.37,6.9,2022-09-06
2200167,Lê Gia Tuấn,Kỹ thuật Công nghệ,4,Cần Thơ,15,2.7,12.5,2022-09-05
2200168,Nguyễn Quốc Yến,Du lịch,3,TP. Hồ Chí Minh,20,2.49,3.6,2022-09-18
2200169,Vũ Thị Vy,Kinh tế,2,TP. Hồ Chí Minh,24,3.0,11.0,2022-09-05
2200170,Bùi Minh Phúc,Kỹ thuật Công nghệ,1,Đồng Nai,20,2.31,8.6,2022-09-13
2200171,Vũ Quốc Sơn,Ngôn ngữ,3,Hà Nội,13,1.89,4.8,2022-09-07
2200172,Nguyễn Ngọc Oanh,Du lịch,4,Khánh Hòa,15,3.38,10.0,2022-09-14
2200173,Hoàng Thị Chi,Kinh tế,2,TP. Hồ Chí Minh,17,2.24,7.6,2022-09-22
2200174,Trần Thanh Sơn,Kinh tế,2,TP. Hồ Chí Minh,12,3.2,4.4,2022-09-24
2200175,Phạm Quốc Quân,Ngôn ngữ,1,Khánh Hòa,16,2.78,8.7,2022-09-05
2200176,Vũ Thị Sơn,Ngôn ngữ,2,Bình Dương,24,2.06,3.8,2022-09-11
2200177,Hoàng Minh Trang,Ngôn ngữ,2,TP. Hồ Chí Minh,24,3.22,3.7,2022-09-17
2200178,Phạm Hữu Thảo,Ngôn ngữ,4,Bình Dương,21,2.53,8.5,2022-09-08
2200179,Hoàng Thị Trang,Luật,4,Hà Nội,16,3.41,2.9,2022-09-06
2200180,Đặng Thanh Giang,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,18,2.0,0.0,2022-09-25
2200181,Đặng Minh Linh,Luật,3,Hà Nội,21,2.73,8.8,2022-09-11
2200182,Đặng Minh Hà,Du lịch,2,TP. Hồ Chí Minh,21,2.09,8.8,2022-09-17
2200183,Phan Gia Linh,Kinh tế,1,Đà Nẵng,15,2.5,10.2,2022-09-25
2200184,Vũ Thị Chi,Kinh tế,2,TP. Hồ Chí Minh,22,2.5,8.1,2022-09-11
2200185,Trần Gia Linh,Luật,1,Hà Nội,18,2.24,10.6,2022-09-15
2200186,Vũ Quốc Quân,Kỹ thuật Công nghệ,3,Khánh Hòa,19,2.31,12.0,2022-09-25
2200187,Lê Ngọc Sơn,Luật,2,TP. Hồ Chí Minh,14,2.19,8.7,2022-09-15
2200188,Lê Văn Quân,Kinh tế,2,TP. Hồ Chí Minh,14,2.14,5.2,2022-09-11
2200189,Hoàng Quốc Tuấn,Kỹ thuật Công nghệ,2,Hà Nội,18,2.59,10.7,2022-09-05
2200190,Vũ Thị Dũng,Ngôn ngữ,3,TP. Hồ Chí Minh,22,2.43,7.3,2022-09-24
2200191,Huỳnh Minh Dũng,Kỹ thuật Công nghệ,2,Đà Nẵng,21,2.43,,2022-09-16
2200192,Đặng Ngọc Linh,Du lịch,1,Đồng Nai,16,2.44,5.7,2022-09-21
2200193,Trần Thanh Linh,Kinh tế,2,Đà Nẵng,16,2.32,12.1,2022-09-08
2200194,Phan Gia Tuấn,Kinh tế,3,Hà Nội,15,2.62,11.7,2022-09-13
2200195,Phạm Thanh Thảo,Kinh tế,2,TP. Hồ Chí Minh,16,2.09,10.3,2022-09-12
2200196,Đặng Gia Sơn,Kỹ thuật Công nghệ,1,Khánh Hòa,24,2.86,7.9,2022-09-24
2200197,Vũ Ngọc Giang,Ngôn ngữ,3,Khánh Hòa,20,2.78,7.4,2022-09-13
2200198,Bùi Minh Khanh,Kinh tế,2,TP. Hồ Chí Minh,13,2.78,4.4,2022-09-17
2200199,Hoàng Thanh Giang,Kỹ thuật Công nghệ,2,Khánh Hòa,16,2.47,4.3,2022-09-10
2200200,Vũ Quốc Mai,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,22,2.39,7.7,2022-09-23
2200201,Nguyễn Hữu Vy,Luật,1,Đà Nẵng,22,2.55,,2022-09-13
2200202,Lê Quốc Vy,Kinh tế,4,Đà Nẵng,17,3.09,6.0,2022-09-20
2200203,Nguyễn Quốc Dũng,Kỹ thuật Công nghệ,2,Đồng Nai,21,2.58,2.3,2022-09-08
2200204,Vũ Thị Hùng,Du lịch,3,TP. Hồ Chí Minh,23,2.3,14.2,2022-09-22
2200205,Phạm Thị Giang,Kinh tế,2,Hà Nội,17,2.45,7.3,2022-09-19
2200206,Hoàng Gia Hà,Du lịch,2,Bình Dương,24,2.76,15.7,2022-09-08
2200207,Hoàng Thị Sơn,Kỹ thuật Công nghệ,3,Cần Thơ,13,2.71,9.9,2022-09-18
2200208,Trần Văn Khanh,Kinh tế,4,TP. Hồ Chí Minh,15,3.19,3.0,2022-09-16
2200209,Hoàng Quốc Oanh,Kinh tế,2,Cần Thơ,23,3.27,13.4,2022-09-20
2200210,Hoàng Minh Nam,Luật,1,Bình Dương,13,3.07,,2022-09-15
2200211,Bùi Thị Giang,Kinh tế,1,Lâm Đồng,14,1.99,4.8,2022-09-22
2200212,Hoàng Minh Thảo,Kỹ thuật Công nghệ,1,Đồng Nai,13,2.8,8.8,2022-09-13
2200213,Bùi Gia Dũng,Ngôn ngữ,4,Cần Thơ,19,3.04,7.1,2022-09-19
2200214,Trần Ngọc Sơn,Du lịch,1,Lâm Đồng,15,1.38,4.7,2022-09-10
2200215,Phan Văn Trang,Kỹ thuật Công nghệ,2,Khánh Hòa,12,2.26,6.1,2022-09-05
2200216,Huỳnh Thanh Phúc,Kinh tế,1,TP. Hồ Chí Minh,24,,8.9,2022-09-24
2200217,Bùi Quốc Sơn,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,16,2.25,4.1,2022-09-20
2200218,Bùi Thanh Bình,Kinh tế,3,Hà Nội,16,2.4,12.1,2022-09-24
2200219,Phan Ngọc Quân,Ngôn ngữ,3,TP. Hồ Chí Minh,15,2.48,12.0,2022-09-15
2200220,Phan Ngọc Khanh,Ngôn ngữ,1,TP. Hồ Chí Minh,15,3.07,10.6,2022-09-12
2200221,Trần Thanh Linh,Kỹ thuật Công nghệ,3,Cần Thơ,13,2.13,4.6,2022-09-19
2200222,Nguyễn Thị Linh,Du lịch,4,Đà Nẵng,20,2.55,6.3,2022-09-05
2200223,Nguyễn Quốc Yến,Ngôn ngữ,1,Đà Nẵng,22,2.04,9.5,2022-09-16
2200224,Nguyễn Minh Oanh,Kỹ thuật Công nghệ,2,Khánh Hòa,20,2.03,11.7,2022-09-23
2200225,Nguyễn Thanh Dũng,Kinh tế,3,TP. Hồ Chí Minh,19,2.71,9.6,2022-09-16
2200226,Phạm Thanh Thảo,Du lịch,1,Bình Dương,21,2.03,8.1,2022-09-19
2200227,Trần Hữu Mai,Kỹ thuật Công nghệ,4,Bình Dương,24,2.45,9.3,2022-09-14
2200228,Bùi Quốc Vy,Kỹ thuật Công nghệ,2,Cần Thơ,19,2.97,13.9,2022-09-05
2200229,Vũ Gia Giang,Ngôn ngữ,3,Hà Nội,16,3.38,10.1,2022-09-17
2200230,Hoàng Minh Chi,Kỹ thuật Công nghệ,1,Cần Thơ,18,2.44,13.9,2022-09-25
2200231,Vũ Hữu Hà,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,14,1.93,9.8,2022-09-11
2200232,Hoàng Ngọc Mai,Luật,2,TP. Hồ Chí Minh,24,3.84,,2022-09-11
2200233,Nguyễn Thanh Hùng,Kinh tế,3,Đà Nẵng,19,2.41,13.3,2022-09-21
2200234,Phan Minh Vy,Kỹ thuật Công nghệ,3,Hà Nội,17,2.66,7.7,2022-09-18
2200235,Hoàng Gia Chi,Kinh tế,1,Hà Nội,19,3.21,12.1,2022-09-22
2200236,Đặng Thị Chi,Kỹ thuật Công nghệ,3,Bình Dương,18,2.79,6.1,2022-09-18
2200237,Hoàng Quốc Thảo,Ngôn ngữ,4,Lâm Đồng,22,2.1,6.9,2022-09-17
2200238,Phạm Quốc Thảo,Kỹ thuật Công nghệ,3,Hà Nội,19,1.72,10.2,2022-09-08
2200239,Lê Hữu Tuấn,Kinh tế,2,Đồng Nai,22,2.28,,2022-09-09
2200240,Phạm Văn Tuấn,Du lịch,1,TP. Hồ Chí Minh,14,,,2022-09-16
2200241,Vũ Thị Phúc,Du lịch,3,Hà Nội,14,2.92,,2022-09-08
2200242,Đặng Hữu Hà,Luật,1,Đồng Nai,19,2.97,0.0,2022-09-13
2200243,Bùi Gia Hùng,Kỹ thuật Công nghệ,4,Bình Dương,17,3.94,14.3,2022-09-14
2200244,Đặng Gia Khanh,Du lịch,1,Khánh Hòa,16,2.1,1.2,2022-09-10
2200245,Đặng Gia An,Kỹ thuật Công nghệ,2,Đồng Nai,21,3.13,8.5,2022-09-22
2200246,Bùi Văn Hà,Ngôn ngữ,1,TP. Hồ Chí Minh,19,3.2,8.6,2022-09-22
2200247,Huỳnh Ngọc Dũng,Kinh tế,2,Cần Thơ,17,3.21,12.8,2022-09-07
2200248,Nguyễn Minh Sơn,Ngôn ngữ,2,TP. Hồ Chí Minh,13,3.34,12.1,2022-09-10
2200249,Trần Văn Phúc,Luật,4,Lâm Đồng,22,2.41,2.8,2022-09-20
2200250,Bùi Gia Oanh,Ngôn ngữ,1,TP. Hồ Chí Minh,14,1.37,6.9,2022-09-07
2200251,Đặng Văn Sơn,Kỹ thuật Công nghệ,3,Cần Thơ,24,2.97,9.6,2022-09-13
2200252,Trần Minh Giang,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,18,3.16,14.3,2022-09-06
